URL,Date,Tweet,ID,Replies,Retweets,Likes,Quotes,Conv. ID,Language,Links,Media,Retweeted Tweet,Bookmarks,Username
https://twitter.com/dukun_digital/status/1668482335451541504,2023-06-13 04:56:02+00:00,"@ganjarpranowo Pak jalan di Dayeuhluhur rusak, udah komen di mana-mana, gak ditanggapi pak. Di Kecamatan Dayeuhluhur, Kabupaten Cilacap pak. Bagian depan doang jalannya bagus, dekat jalur lintas provinsi saja. Sisanya rusak pak.",1668482335451541504,6,7,63,1,1668459978661810188,in,,,,0,dukun_digital
https://twitter.com/detikcom/status/1669261208883724288,2023-06-15 08:31:00+00:00,"Jalan Sumbersari Kecamatan Kayen, Kabupaten Pati, kondisinya rusak parah bak medan off road. Rusaknya jalan tersebut viral usai diunggah di media sosial.

Via detikJateng
https://t.co/k6EqDILmEh",1669261208883724288,1,2,3,0,1669261208883724288,in,https://www.detik.com/jateng/berita/d-6774271/viral-jalan-sumbersari-kayen-pati-bak-medan-off-road-begini-kondisinya?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikjateng,,,0,detikcom
https://twitter.com/theT4ntryS1/status/1666292650633461760,2023-06-07 03:55:00+00:00,Pak @ganjarpranowo lakukan percepatan perbaikan jalan rusak yg berstatus sebagai jalan provinsi. https://t.co/AwozntCqPv,1666292650633461760,1,11,34,1,1666292650633461760,in,,,,0,theT4ntryS1
https://twitter.com/berita_jabarku/status/1666747379146706944,2023-06-08 10:01:56+00:00,"Ganjar Pranowo Ajak Jajarannya Membenahi Jalan Rusak

Haris Azhar Fatia Messi Simon Cowell Pak Hary Tanoesoedibjo Full Video Glazer Tasyi Biji Barca Pak Anies Inter Miami Putri Ariani SEVENTEEN ALL TIME BESTSELLER Pacitan Mapan Kerasa HAECHAN LEE Sore Kenceng https://t.co/G8iFJnw5Kq",1666747379146706944,0,1,3,0,1666747379146706944,in,,,,0,berita_jabarku
https://twitter.com/13tylr/status/1669133551550488576,2023-06-15 00:03:44+00:00,"Gimana orang gak nyasar, ini bukan jalan utama yg direkomendasikan. Betul sih bedsnya hampir 35 km. Tapi u harus tau ini jalannya gimana njir.

Kalau malam serem banget, udah lewat rawa-rawa, lewat daerah batu bara, jalannya rusak karena banjir (ya samping kiri-kanannya rawa). https://t.co/LtXJofV2u4",1669133551550488576,1,0,0,0,1669133551550488576,in,,https://pbs.twimg.com/media/Fyn0HfmaUAAsapf?format=jpg&name=orig,,0,13tylr
https://twitter.com/rahmadhdyt709/status/1668871959487320064,2023-06-14 06:44:15+00:00,"Wah parah ni gubernur Jawa Barat masak jalannya rusak gak dibenerin?
#ridwankamil #gakbisakerja #jawabarat #bandung #proyekgagaltotal #jalanrusak https://t.co/9Ta7kNwZmk",1668871959487320064,0,0,1,0,1668871959487320064,in,,,,0,rahmadhdyt709
https://twitter.com/_Umamlik/status/1666801103873376256,2023-06-08 13:35:25+00:00,"Pak @ganjarpranowo dan pemprov jateng akan Gaspoll perbaikan Jalan provinsi yang rusak 
Dengan Tagline
Jateng Tanpa Lubang 
Mumpung cuaca musim kemarau
Sangat cocok untuk pekerjaan
Dengan Tanpa mengurangi kualitas pekerjaan 
Yang dijalan Sabar ya kalau ada pengerjaan jalan🙏 https://t.co/SFkCZVTPQk",1666801103873376256,1,21,19,0,1666801103873376256,in,,,,0,_Umamlik
https://twitter.com/Eroel_86/status/1668141846319747074,2023-06-12 06:23:03+00:00,"Terkait jalan Rusak Provinsi, DPD GM PPMA Kab.Asahan Unjukrasa di Kantor Gubernur Sumut dan Mapolda Sumut @RahmayadiEdy @edy_rahmayadi @jokowi @KemenPU https://t.co/jwFykRMFp5",1668141846319747074,1,1,1,0,1668141846319747074,in,,,,0,Eroel_86
https://twitter.com/suwarni8990/status/1668849272035610624,2023-06-14 05:14:06+00:00,"@MashaNdeber enggak gagal gagal amat. dia BERHASIL membikin provinsi Jawa Tengah amburadul dari mulai kemiskinan, tingkat pengangguran, pendidikan rendah, banjir rob, jalan rusak, wah capek ngetiknya.
Singkatnya pak Trimedia PDIP sudah kasih kita pencerahan kegagalan ganjar mimpin Jawa Tengah https://t.co/LaTH4tlhyr",1668849272035610624,0,0,0,0,1668809079010246657,in,,,,0,suwarni8990
https://twitter.com/theburningroses/status/1666732599644147713,2023-06-08 09:03:12+00:00,"hutan oke, jalan rusak oke! kerjaaaaaaa! https://t.co/1MtBZxZUh9",1666732599644147713,0,0,0,0,1666732599644147713,in,,https://pbs.twimg.com/media/FyFsXgWacAAI84g?format=jpg&name=orig,,0,theburningroses
https://twitter.com/03__nakula/status/1667417857884557312,2023-06-10 06:26:11+00:00,"Beginilah pemimpin yang seharusnya.
Pak Ganjar dengan sabar menghadapi masyarakat yang kecewa dikarenakan pak Ganjar dulu tidak mau datang ke desa mereka untuk meninjau jalan yang rusak.
Alhamdulillah saat ini jalan sudah selesai dibangun.

Ganjar: ""Tuanku adalah rakyat"". https://t.co/yZCcIVMON6",1667417857884557312,3,16,47,0,1667417857884557312,in,,,,0,03__nakula
https://twitter.com/IDNTimesSumut/status/1669239201488052225,2023-06-15 07:03:33+00:00,4 Teknik Berkendara di Jalan Rusak dan Berlubang https://t.co/zyssuzjDKW,1669239201488052225,0,1,0,0,1669239201488052225,in,https://sumut.idntimes.com/automotive/motorbike/arifin-alamudi/4-teknik-berkendara-di-jalan-rusak-dan-berlubang?utm_source=twitter&utm_medium=twitter&utm_campaign=dlvr.it,,,0,IDNTimesSumut
https://twitter.com/kuntilanak_w/status/1666856765949112320,2023-06-08 17:16:36+00:00,"Hari apes ngak ada di kalender, udah di jemput tengah malem, ehhh baru jalan mobil udah rusak.terus mau sampe kosan jam berapa😭 https://t.co/RqXDsLDXUp",1666856765949112320,0,0,0,0,1666856765949112320,in,,,,0,kuntilanak_w
https://twitter.com/detikcom/status/1668947139467280384,2023-06-14 11:43:00+00:00,"Jalan rusak di Indragiri Hulu membuat warga resah. Dinas PUPR Riau mengaku sedang mengerjakan perbaikan jalan itu.

Via: @detiksumut_ 
https://t.co/9N0lsRwXAO",1668947139467280384,2,1,1,1,1668947139467280384,in,https://www.detik.com/sumut/berita/d-6772635/warga-ngeluh-jalan-inhu-kuansing-rusak-akibat-truk-batu-bara-ini-kata-pupr?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detiksumut,,,0,detikcom
https://twitter.com/ruangngupi/status/1668942668054020096,2023-06-14 11:25:14+00:00,@VIVAcoid Pembangunan apa yg terbaik? Banjir? Jalan rusak? Apa kemiskinan ?,1668942668054020096,1,3,32,0,1668882849884413953,in,,,,0,ruangngupi
https://twitter.com/eurekaa1982/status/1669149982514114561,2023-06-15 01:09:01+00:00,https://t.co/nXAYNP8AgD,1669149982514114561,0,0,0,0,1669149982514114561,zxx,https://lebak.inews.id/read/308649/jalan-provinsi-rusak-parah-ormas-di-lebak-selatan-unjuk-rasa-dan-tanam-pisang?utm_medium=sosmed&utm_source=whatsapp,,,0,eurekaa1982
https://twitter.com/MAbumilah/status/1667064283405103105,2023-06-09 07:01:12+00:00,"@AdamVelcro @dwiwarna9 Jangan Indonesia Jateng aja 10 tahun masuk 17 povinsi termiskin, hadeh kejauahan mikirnya buktikan dulu itu banjir gak surut2 sama jalan rusak Jateng https://t.co/s4Cc3R64vu",1667064283405103105,0,2,3,0,1666705425390252035,in,,,,0,MAbumilah
https://twitter.com/AfitNurkhikmah/status/1669199707246329856,2023-06-15 04:26:37+00:00,"Jika berpisah dengan mu adalah jalan terbaik, maka jalannya aku aku rusak!!",1669199707246329856,0,0,0,0,1669199707246329856,in,,,,0,AfitNurkhikmah
https://twitter.com/syarafat_adhe/status/1669175227362992128,2023-06-15 02:49:20+00:00,Bego udh tau jalan rusak masi aj dtrobos,1669175227362992128,0,0,0,0,1669175227362992128,in,,,,0,syarafat_adhe
https://twitter.com/kindblessed2/status/1667684116991733760,2023-06-11 00:04:12+00:00,Warga indo klo liat ada jalan rusak = kanal yutub https://t.co/zHFcrpj5DQ,1667684116991733760,0,0,0,0,1667684116991733760,in,,https://pbs.twimg.com/media/FyTN3dOaYAAJkQ6?format=jpg&name=orig,,0,kindblessed2
https://twitter.com/infoRIAU/status/1668539772699287552,2023-06-13 08:44:16+00:00,"Pemprov Riau Komitmen Perbaiki Jalan Rusak Akibat Truk Batubara

#beritaRIAU 
https://t.co/ZW6T5Xa1EB",1668539772699287552,0,1,2,0,1668539772699287552,in,https://riaupos.jawapos.com/riau/10/06/2023/303322/pemprov-riau-komitmen-perbaiki-jalan-rusak-akibat-truk-batubara.html,,,0,infoRIAU
https://twitter.com/iyoet__1075/status/1667843082581348352,2023-06-11 10:35:52+00:00,Pak @ganjarpranowo  lagi lari2 ke daerah lain yg jalannya bagus.  Soalnya di Jateng byk jalan yg  rusak dan banjir   🤣🤣🤣 https://t.co/1eAlxLVwwj,1667843082581348352,0,4,3,1,1667843082581348352,in,,,,0,iyoet__1075
https://twitter.com/pcabloka/status/1666786573323735041,2023-06-08 12:37:41+00:00,jalan utama rusak parah https://t.co/erfIClvnuc,1666786573323735041,0,0,0,0,1666786573323735041,in,,https://pbs.twimg.com/media/FyGdgEjaMAQRKJ2?format=jpg&name=orig,,0,pcabloka
https://twitter.com/tvOneNews/status/1667019642584576000,2023-06-09 04:03:49+00:00,"Hantam Lubang Jalan Rusak, IRT Tewas dalam Kecelakaan Tunggal https://t.co/WZdE0Fm8BO",1667019642584576000,0,2,7,0,1667019642584576000,in,http://dlvr.it/SqP1kb,,,0,tvOneNews
